sentense_clean,my_ent_1,their_ent_1,my_ent_2,their_ent_2,label
"In February of this year, comedian Louis CK wrote that he had chosen to abandon conventional TV production, host his new series Horace and Pete on his website and charge per episode for a show that was as much TV play as a comedy.",Louis CK,Horace,he,Pete,0
"President Obama and several European leaders “unanimously agreed” on Friday to keep sanctions in place against Russia for its intervention in Ukraine, amid concern that Donald J. Trump would soften the United States’ stance against Moscow.",Obama,that,Donald J. Trump,Moscow,0
"Correct the Record, a Clinton political action committee (PAC) is spending over $1 million on online trolls in order to ‘correct’ Bernie Sanders supporters on social media sites.",Clinton,Clinton,Bernie Sanders,Bernie Sander,0
The Obama administration is facing growing criticism for supporting Saudi Arabia’s air campaign.,Obama administration,Obama,Saudi Arabia’s,Saudi Arabia’,0
" The Chairman of the House Committee on Financial Services sent a letter last month to the head of the Treasury Department instructing him to decline Freedom of Information requests relating to communications between the two offices, a letter that open records advocates called “deeply troubling.",the House Committee on Financial Services,the House Committee on Financial Service,the Treasury Department,the Treasury Department,0
"The Eagles signed defensive lineman Fletcher Cox on Monday to a $103 million extension with a possible $63 million guaranteed, making Cox the latest defensive lineman to cash in while Wilkerson waits.",Fletcher Cox,cash,Cox,wait,0
"Donald Trump cancelled his Saturday morning speech at the Conservative Political Action Conference in suburban Washington, D. C.",Donald Trump,Donald Trump,Washington,D. C.,0
 The latest attempt by a major beverage company to wade into the turbulent sociopolitical climate through advertising is being met with significantly more praise than Pepsi’s recent botched attempt with Kendall Jenner. ,Pepsi,Pepsi,Kendall Jenner,Kendall,0
"For an account of Brazilian history, Euclides da Cunha's Rebellion in the Backlands",Brazilian,Brazilian,Euclides da Cunha's,Euclides da Cunha,0
"Her father is a regular critic of China, so Ivanka’s moves sort of compensate for that,” said Shi Yinhong, a professor of international relations at Renmin University in Beijing.",Ivanka,China,Shi Yinhong,Beijing,0
LeBron James says he has lost respect for Phil Jackson after the famed NBA coach used the word “posse” to describe the Cleveland star’s business partners.,LeBron James,LeBron Jame,Phil Jackson,Cleveland,0
"He was elected as a Nationals MP in federal Parliament in 1993, until he left to become an independent in 2001, having started in Queensland Parliament in 1974.Mr Katter founded the Katter's Australian Party (KAP) in 2011.The KAP",He,National,he,Katter,0
 The Hillary Clinton campaign and Democratic Party joined Thursday to sue Arizona over voting problems in last month,Hillary Clinton,Democratic Party,Democratic Party,Arizona,0
The Trump administration has cleared out the top echelons at the State Department.,Trump administration,Trump,the State Department,the State Department,0
 A Texas mom is being hailed a hero for shielding her son from bullets after she was struck in the leg during Thursday’s deadly sniper attack at a peaceful protest rally in downtown Dallas. ,her,Texa,she,Dalla,0
"Results in Pennsylvania have diverged, with Quinnipiac, which generally produces better results for Republicans, showing Trump slightly ahead and Marist giving Clinton a comfortable point advantage.",Trump,Pennsylvania,Marist,Republican,0
A radio executive from Minneapolis is being hailed as a hero after saving his son from drowning while vacationing with his family in Puerto Rico.,Minneapolis,Minneapoli,Puerto Rico,Puerto Rico,0
"but if they don’t, instead of Republicans fighting with each other, why don’t we make sure that the Democrats still are responsible?",they,Republican,Republicans,Democrat,0
"After the attack on the funeral hall, President Barack Obama’s administration pledged to conduct “an immediate review” of its logistical support for the Saudi coalition.",President Barack Obama,Barack Obama’,administration,Saudi,0
"In an appearance on CNBC on Thursday, network personality Larry Kudlow took on former Rep. Barney Frank ( ) over what could happen in the 2016 presidential political cycle. ",Larry Kudlow,CNBC,Barney Frank,Barney Frank,0
"Bi Fujian, who works for China Central Television, was filmed at a dinner party singing a revolutionary song that eulogizes the Communist Party’s early years when he started going off script. ",Bi Fujian,Bi Fujian,he,the Communist Party’,0
"However, the Lakers starting backcourt was no match for the Portland pair of Damian Lillard and C.J. McCollum.",Damian Lillard,Portland,C.J. McCollum,Damian,0
"And a North Charleston police officer recently pleaded guilty to a federal civil rights charge after he shot and killed Walter Scott, an unarmed motorist, as he was running away.",police,North Charleston,he,Walter Scott,0
"Western security and intelligence officials have long seen Yemen as central to their fight against Islamist militancy, viewing local franchise Al Qaeda on the Arabic Peninsula (AQAP) as the most dangerous single foreign group plotting attacks against the West.",Islamist,Islamist,Al Qaeda on the Arabic Peninsula,Al Qaeda,0
Interviews with more than a dozen GOP lawmakers revealed a clash of expectations between lawmakers to get started in disassembling Obamacare and party leaders who are all too aware of the obstacles and difficult choices ahead.,GOP,GOP,None,Obamacare,0
"Immediately following the U. S. presidential election on November 8, Trump demonstrations sprang up in New York, San Francisco, and Los Angeles — cities that vote overwhelmingly Democratic.",Trump,New York,Democratic,Los Angele,0
"What do full moons, a Weenie Beenie and a children's daycare have in common?But reports on the arrest of two Alexandria women, Betty Ross and Cassandra Lewis, who were charged with seven counts of contributing to the delinquency of a minor involve every bit of those three things.",Betty Ross,Alexandria,Cassandra Lewis,Betty Ro,0
FORMER Celebrity Big Brother star Tila Tequila has sparked concern after a bizarre 12-hour Twitter rant in which she claimed the Earth is flat.,Tila Tequila,Tila Tequila,she,Twitter,0
"On Thursday, one of his staunchest defenders, Sen. Lindsey O. Graham ( . C.) called him “one of the finest men to ever serve on the bench in the history of this country” and used an interview on Fox News to denounce “garbage” Democratic attacks on Gorsuch’s record.",Lindsey O. Graham,Lindsey O. Graham,Gorsuch,Democratic,0
"U. S. Marshals added the inmates who broke out of a maximum security prison in upstate New York to their 15 most wanted fugitives list and offered a $50, 000 reward for information that leads to their capture. ",U. S.,who,New York,most,0
White House press secretary Sean Spicer said Thursday that the White House had rescinded guidance to public schools on transgender students’ access to facilities that match their gender identity because it ought to be a “states’ rights” issue.,White House,Sean Spicer,secretary Sean Spicer,the White House,0
"The European stock market remains vulnerable to a pull-back, however, as an overbought market might induce investors to take some profits from the previous sessions new 5-1/2-year high for the pan-European FTSEurofirst 300 index and a new record high for Germanys",European,European,pan-European,Germany,0
"However, McConnell once again missed an opportunity to attack Clinton to instead seemingly signal to the media that his endorsement of Trump is merely perfunctory.",McConnell,McConnell,Clinton,Trump,0
"For the United States and its allies, Yemen’s government has been a key ally in the fight against al Qaeda in the Arabian Peninsula, the group linked to attacks such as the recent slaughter at French magazine Charlie Hebdo. ",al Qaeda in,the United State,French,Charlie Hebdo,0
" On the morning of Jan. 3, a California woman named Alexandria left her half brother, Tyler and her three pet dogs in her trailer home and went to work her morning shift as a security guard.",Alexandria,California,Tyler,Alexandria,0
"While Mr. Modi has largely steered clear of divisive language on religion as prime minister, his party has a Hindu nationalist philosophy, and he was accused of complicity in violence as the leader of his home state of Gujarat.",Modi,Modi,minister,Gujarat,0
"The book, which was scrapped in November amid a public furor, was billed by publisher HarperCollins as a hypothetical account of how Simpson could have murdered his ex-wife Nicole Brown Simpson and her friend Ron Goldman -- though he maintains his innocence to the crime.",Simpson,HarperCollin,Nicole Brown Simpson,Simpson,0
A federal judge in Seattle Friday struck down a from entering the United States ,Seattle,Seattle,the United States,United State,0
The vast majority of the DNC and Podesta email leaks — the ones that emerged from the Russian hack ,Podesta,DNC,Russian,Russian,0
" The crowds that gathered on January 21, 2017, looked like something out of a movie: a more subdued Zion rave from The Matrix Reloaded or a District 11 revolt straight out of Panem in The Hunger Games.",Zion,Zion,None,Panem,0
"French President Francois Hollande pledged Monday to redefine France’s business model and declared what he called ”a state of economic and social emergency,” unveiling a ($2. 2 billion) plan to revive hiring and catch up with a world economy.",President Francois Hollande,French,he,France,0
"In an interview with CBS’ ”60 Minutes” that will air on Sunday, Trump said he isn’t ready to give up his Twitter account, where he routinely posted controversial statements during the campaign that unleashed harsh criticism. ",Trump,CBS,he,Twitter,0
"The Islamic State had claimed an attack during that holiday as well, bombing another Shiite shrine in Kabul on the eve of Ashura, and killing at least 14.",The Islamic State,The Islamic State,Shiite,Ashura,0
"With president Donald Trump speaking out and saying that the NFL owners should get rid of players that dont stand up during the national anthem, Davis is backpedaling his original request.",Donald Trump,NFL,Davis,Davi,0
"Donald Trump will have a plan to wipe out ISIS within 30 days of being sworn in as president, the mogul pledged in a national security speech Wednesday in Philadelphia.",Donald Trump,ISIS,president,Philadelphia,0
 Tens of thousands of people rallied in U. S. cities and at airports on Sunday to voice outrage over President Donald Trump’s executive order restricting entry into the country for travelers from seven nations.,U. S.,U. S.,President Donald Trump,Donald Trump’,0
"Any American who is aware of the nation’s long history of racial violence, division and recrimination heard Trump’s message loud and clear.",American,American,Trump,Trump’,0
"Sophia Wilansky, 21, who grew up in the Bronx, rested in a Minneapolis hospital bed, her father by her side, recovering from surgery to try to save her left hand and arm after an explosion at a pipeline protest in North Dakota this week.",Sophia Wilansky,Sophia Wilansky,her,North Dakota,0
"Rousseff, who is negotiating the support of smaller parties in return for government jobs vacated by the PMDB, said she would not announce a new Cabinet until after the impeachment vote expected in about 10 days. ",Rousseff,Rousseff,she,Cabinet,0
"Few European films are so affectionately remembered as Closely Observed Trains, one of the pinnacles of the Czech New Wave of the 60s, brutally cut short by the Soviet invasion of Czechoslovakia in August, 1968, which caused Milos Forman, one of its chief exponents, to flee to America.",European,European,Czech,Czechoslovakia,0
"Near one position held by Iraqi forces, this woman screamed out in horror after the loss of her son in an ISIS mortar attack, right on her doorstep.",woman,Iraqi,her,ISIS,0
"Nigers President Mahamadou Issoufou is far ahead of rivals in a contentious election in which he is seeking a second term, according to early results from Sundays vote that have already been contested by opposition leaders.",President Mahamadou Issoufou,Niger,he,Mahamadou Issoufou,0
A former Prime Minister of Portugal remained the to become the next U. N. after a second secret straw poll taken in the Security Council on Friday.,Minister,to,Council,ecret,0
"s message of hope will remain the same through Nov. 4, the LAT reports, while John McCain is sharpening the points of a three-pronged final attack that will focus on Obamas tax plan, his limited experience, and the excessive power the Democratic Party could wield if he is elected.",John McCain,Obama,Obamas,the Democratic Party,0
"In the 1960s, though, scientists and engineers at the University of California, Davis, developed an oblong tomato that lent itself to being and an efficient mechanical harvester to do the job in one pass through a field.","the University of California, Davis",harvester,None,do,0
"In a Monday briefing, a White House official acknowledged that lawsuits would likely result from the Trump administration’s efforts to halt or rescind climate rules, delaying their removal by one to three years or more.",White House,White House,Trump administration,Trump,0
"Instantly acclaimed as one of the most important documentaries of the year, Ava DuVernay’s film about the mass incarceration of black men, “13th,” wowed audiences at the New York Film Festival and looks like a leading Oscar contender as it premieres in theaters and on Netflix on Friday.",Ava DuVernay’s,Ava DuVernay’,Netflix,Oscar,0
" When Susan Benesch began looking at how speech could incite mass violence, her research took her to places like Kenya and Burma.",Susan Benesch,Susan Benesch,her,Kenya,0
Assad had lost ground nationwide for most of 2015 before the Russian and Iranian escalations helped him launch the Aleppo offensive.,Assad,Assad,him,Russian,0
"Thomas Frank writes in The Guardian that the WikiLeaks emails to and from Hillary Clinton’s campaign manager John Podesta “offer an unprecedented view into the workings of the elite, and how it looks after itself.",Thomas Frank,Thomas Frank,Hillary Clinton’s,Hillary Clinton’,0
"Speaking to the Daily Caller Saturday, Florida Senator Marco Rubio signaled loud and clear that he is already surrendering the only hope the GOP has against the coordinated War on Women attacks Hillary Clinton and her DC Media allies intend to wage during the upcoming general election.",Marco Rubio,GOP,Hillary Clinton,Hillary Clinton,0
"The Obama administration agreed to release the visitor logs in response to our lawsuits, and despite the Trump administration’s worry over ’’grave national security risks and concerns,’’ only positives for the American people came out of them.",administration,Obama,Trump administration,Trump,0
"An open letter addressed to Chinese President Xi Jinping and Prime Minister Li signed by dozens of internationally respected China Studies scholars from Australia, the United States, Britain and Hong Kong was also circulated on Thursday respectfully requesting Fengs release.",Xi Jinping,China,Li,Britain,0
"Donald Trump postponed the announcement of his candidate, Mike Pence, because of the terrorist attack in Nice, which was in line with the modus operandi of his campaign.",Donald Trump,Mike Pence,Mike Pence,Nice,0
"There’s no doubt “ ” will clean up at Sunday night’s MTV Video Music Awards, but Beyoncé is already making sure her presence will be felt on the circuit for years to come through her talented new protégée.",Beyoncé,MTV,her,Beyoncé,0
"On Friday, the Rebello family filed a wrongful death lawsuit against the Nassau County Police Department, claiming the officer who fired the bullet that killed Andrea ""carelessly discharged"" his weapon and acted ""recklessly and unnecessarily, according to the lawsuit, per NBC New York.",Rebello,Andrea,Andrea,NBC New York,0
"Anas Alabdah, president of the Syrian National Coalition, has called on the US to suspend its airstrikes until it performs a thorough investigation into the attack near the contested northern city of Manbij on Tuesday that Syrian activists say killed at least 73 civilians — and possibly more than 125.",Anas Alabdah,the Syrian National Coalition,president,US,0
Legislation that received bipartisan support and was signed into law by President Obama last year prohibits the administration from using federal funds to build or modify a facility on U. S. soil to house Guantánamo prisoners.,President Obama,Obama,administration,Guantánamo,0
" Scientists using sophisticated scanning technology on the fossil bones of the ancient human ancestor from Ethiopia dubbed ”Lucy” have determined that she was adept at climbing trees as well as walking, an ability that in her case may have proven fatal.",Lucy,Ethiopia,she,Lucy,0
"Support for the Greens party and the Left party were unchanged at eight and seven per cent, respectively.",Greens,Green,None,Left,0
"The Syrian regime says it has taken full control of Aleppo, media announced Thursday, marking a major turning point in the country’s civil war. ",Syrian,ha,Aleppo,announced,0
"(Additional reporting by Simon Carraud, Yann Le Guernigou and Emmanuel Jarry; writing by John Irish and Richard Balmforth; editing by Andrew Roche) SEOUL North Korea said on Wednesday its newly developed intercontinental ballistic missile (ICBM) can carry a large nuclear warhead, triggering a call by Washington for global action to hold it accountable for pursuing nuclear weapons.",Simon Carraud,John Irish,Yann Le Guernigou,Washington,0
" A couple weeks ago at The Aspen Ideas Festival, Evan Thomas, the journalist and author of Being Nixon, wondered if reason is dead.",Evan Thomas,Evan Thoma,None,Being Nixon,0
"In the midst of France’s fight over banning the burkini, the bikini is celebrating its 70th anniversary, and photographs chronicling its debut and early history in the 1940s, ’50s and ’60s are on display in one of Paris’s chic galleries, prompting parallels to the uproar over the burkini today.",France,France,Paris,Pari,0
Midland was launched in 2014 after Nick accused figures including the late exPrime Minister Sir Edward Heath of being part of a VIP sex ring.,Nick,Midland,Edward Heath,Edward Heath,0
"This is a big victory for the tech giants that had been resisting Flash on its mobile devices like Apple's Steve Jobs, who refused to submit to Adobe's dominance in iOS, causing a sort of Flash versus HTML5 showdown.",Apple,Flash,Steve Jobs,Steve Job,0
"As a transit point for refugees flooding toward the west as well as jihadis attempting to access battle zones in Syria and Iraq, Turkey has emerged as an instrumental player in U. S. efforts to combat ISIS.",Syria,Syria,Iraq,U. S.,0
" Changes that House Republicans have made to their legislation would reduce savings in federal spending by half as much as their original plan and would still cause 24 million more Americans to be uninsured, according to congressional budget analysts.",Republicans,House,Americans,American,0
"Nearly four years later, now president himself and grappling with how to respond to another chemical weapons attack by the Syrian government, Mr. Trump ignored his own warnings and did what Mr. Obama threatened but never carried out: order a missile strike targeting assets of President Bashar .",Trump,Syrian,Obama,Obama,0
" percent of Americans say race relations are generally bad, one of the highest levels of discord since the 1992 riots in Los Angeles during the Rodney King case, according to the latest New York News poll.",Americans,American,Rodney King,New York,0
"Democratic presidential nominee Hillary Clinton says she’ll visit the devastation caused by flooding in Louisiana, but refused to set a specific date.",Hillary Clinton,Hillary Clinton,she,Louisiana,0
"While Thursday is now the earliest the could be officially announced as manager, Paul Scholes has warned Mourinho he will have to provide entertaining football to please supporters once he is appointed.",Paul Scholes,Paul Schole,Mourinho,Mourinho,0
"The dream scenario for the Giants is Aaron Rodgers on the sidelines, frozen with helplessness and anxiety, watching the kid run the rock over and over and over again.",Giants,Giant,Aaron Rodgers,Aaron Rodger,0
"John Kiriakou, a former CIA officer, recently emerged from two years in prison for unauthorized disclosure of classified information, including exposing the identity of an Agency colleague who was serving under cover.",John Kiriakou,John Kiriakou,CIA,Agency,0
"Under the Paris agreement’s “members determined contributions” (MDCs) former president Barack Obama pledged to cut US carbon dioxide emissions by 26% by 2025, bringing it down to 28%.",president Barack Obama,Pari,US,Barack Obama,0
Worst is that the provision currently makes no mention of grandfathering anyone in to the original PSLF terms.,PSLF,Worst,None,PSLF,0
"Owner Erin Lang, who grew up in Hawaii, recreated some of the sweet, Asian-inspired frozen treats of her childhood when she started Garden Creamery.",Erin Lang,Owner Erin Lang,her,Hawaii,0
"Former Oklahoma City police officer Daniel Holtzclaw, who was found guilty of raping and sexually assaulting multiple women while on his beat, was sentenced to 263 years in prison.",police,Oklahoma City,Daniel Holtzclaw,Daniel Holtzclaw,0
"Sue Baker, director of Time to Change, said: ""Both films have been designed to attract members of the public who don't realise they are causing stigma and discrimination.",Sue Baker,Sue Baker,they,Time to Change,0
"Earlier on Tuesday, Cabinet Chief Marcos Pea asked for an independent audit of the deal to resolve the debt and denied any wrongdoing by Macri's government.",Cabinet,Cabinet,Marcos Pea,Macri,0
"The Dan Le Batard Show,” host Dan Le Batard addressed the accusations that his employer has a liberal bias after the show interviewed 2017 White House Correspondents’ Association dinner host and “",Dan Le Batard,that,White House Correspondents’ Association,“,0
"Trump’s trade team, led by Commerce Secretary Wilbur Ross, was expected to begin the negotiating process for NAFTA soon and must trigger a consultation period before diving into trade talks with Canada and Mexico.",Trump,Wilbur Ro,Wilbur Ross,NAFTA,0
"A highly respected American rabbi, Yitz Greenberg, used to tell American Jewish audiences, whether Reform, Conservative, Orthodox,",American,Yitz Greenberg,Yitz Greenberg,Orthodox,0
 The conservative movement in America now belongs to President Trump.,America,America,President Trump,Trump,0
"s question on whether the US will continue to provide funding for the UN Relief and Works Agency, which provides aid to millions of Palestinian refugees, in light of a non-binding UN General Assembly resolution last month condemning the US recognition of Jerusalem as Israels capital",Palestinian,US,Israels,Israel,0
"According to Recode, his departure may have ties to a complaint that Baker had a sexual relationship with another Uber employee.",Recode,Recode,Baker,Uber,0
"Vt. ” Sen. Bernie Sanders, a loyal soldier for Hillary Clinton since he conceded the Democratic presidential nomination in July, plans to push liberal legislation with senators with or without Clinton s support if she is elected ” and to aggressively oppose appointments that do not pass muster with the party s left wing.",Bernie Sanders,loyal,Hillary Clinton,conceded,0
"Khazhal Hamad, the province’s first deputy governor, said the removals protected families from retaliation by neighbors who lost family members to ISIS attacks.",Khazhal Hamad,Khazhal Hamad,governor,ISIS,0
"In the past year, Breitbart Tech editor Milo Yiannopoulos had his verification check mark removed, and conservative blogger Robert Stacy McCain had his account suspended without reason.",Milo Yiannopoulos,Breitbart Tech,Robert Stacy McCain,Robert Stacy McCain,0
"Uber on Tuesday released to investors its third-quarter financial results, posting a net loss of $1.46 billion, up about 38 percent from $1.06 billion in the previous quarter and erasing earlier progress in diminishing losses, a source familiar with the matter told Reuters.",Uber,Uber,Reuters,Reuter,0
"While the AMA claimed not to discriminate, it left membership decisions up to its local chapters, which made an African American doctor hard pressed to find a chapter that would accept him, particularly in the South.",African American,AMA,him,African American,0
"We are all Armenians, suggesting a new desire among Turks to reach out despite the past in a spirit of solidarity.My fear is that the U.S. Congress vote will now just encourage the hardliners on both sides, just as the veil (on old taboos) was starting to lift, said Idiz.",Armenians,Congre,Turks,Idiz,0
The PNP chief said that the Abu Sayyaf had mounted terror bombings and kidnappings to gain the attention of the Islamic State and their foreign supporters.,PNP,PNP,the Abu Sayyaf,the Islamic State,0
"Outside the federal courthouse in downtown Seattle last Friday afternoon, Washington state Attorney General Bob Ferguson suddenly found himself in the national spotlight after federal Judge James L. Robart had just imposed an immediate, nationwide halt to President Trump’s executive order on immigration and refugees.",Bob Ferguson,Seattle,James L. Robart,Washington,0
"The support of the Turkish diaspora in Germany, a community of about 1. 4 million people, holds an important symbolic significance to Erdoğan’s AK party.",Turkish,Turkish,Erdoğan,Erdoğan’s AK,0
"The White House Correspondents’ Dinner, bruised by President Donald Trump’s boycott, will at least have one good this year: from NBC News and MSNBC.",President Donald Trump,Donald Trump’,NBC News,MSNBC,0
Nine Australian men have walked free from a Malaysian court Thursday after being arrested for stripping down to their briefs at the country’s Grand Prix on Sunday. ,Australian,free,Malaysian,being,0
"Long before Clinton gave this speech, Mitt Romney attacked Trump for his alleged racism.",Clinton,Clinton,Mitt Romney,Trump,0
"Before the chemical attack, the Trump administration said the US would no longer make regime change in Syria a priority ",administration,Trump,US,US,0
And Brexit itself is pushing into May’s party the former Labour voters in the Northeast who supported it.,May,Brexit,Labour,Northeast,0
"WEST PALM BEACH, Fla. — Carlos Beltran and Brian McCann still have Dellin Betances’ back in a big way even though they are no longer Yankees.",Carlos Beltran,WEST PALM BEACH,Brian McCann,Brian McCann,0
"Novelist and cultural commentator Bret Easton Ellis delivered a brutal monologue on his podcast this week about “social justice warriors” — or, as the author prefers to call them, the “authoritarian language police” who adhere to a “strict set of little rules and manufactured outrage, demanding apologies from every sandwich or salad you didn’t like. ”",Bret Easton Ellis,Novelist,them,Bret Easton Elli,0
" NBC comedy show ”Saturday Night Live” mocked Scottie Nell Hughes, a longtime supporter of Republican presidential candidate Donald Trump in a sketch this weekend.",Scottie Nell Hughes,NBC,Donald Trump,Scottie Nell Hughe,0
"Under former university president Ken Starr, Baylor became synonymous with sexual violence by football players whose crimes were continually downplayed by coaches and administrators.",president Ken Starr,Ken Starr,Baylor,Baylor,0
Steve Cohen caused Whitney Tilson some pain on his Netflix and OpenTable shorts.,Steve Cohen,Whitney Tilson,Whitney Tilson,Netflix,0
"The Paris prosecutor, François Molins, said the attacker, who was 29 years old, was believed to be an Egyptian who arrived in France on Jan. 26 from Dubai, in the United Arab Emirates, on a visa he obtained last November.",François Molins,François Molin,he,Egyptian,0
"The UK Guardian describes the trove of confidential data stolen from Mossack Fonseca, a law firm that specializes in administering offshore accounts, as “the biggest data leak in history.",Guardian,UK,Mossack Fonseca,Mossack Fonseca,0
"As loss piled on loss, Liu used boxing metaphors, the wisdom of Michael Jordan and the lessons from his own low points as a Tour battler who never broke the top 1,000 to garnish his motivational speeches.",Liu,Liu,Michael Jordan,Tour,0
"We are competing everywhere, but I have been struck by some of the challenges California faces,” Mrs. Clinton said, criticizing Mr. Trump for denying the state’s drought.",Clinton,California,Trump,Trump,0
U. S. intelligence officials suspect Russia was responsible for breaches of Democratic political organizations and state election systems to exert influence on the Nov. 8 presidential election.,U. S.,U. S.,Russia,Democratic,0
Munoz was initially arrested by U. S. Border Patrol agents on charges related to illegally entering the country.,Munoz,Munoz,U. S. Border Patrol,U. S. Border,0
"As the complaint notes, the Public Interest Legal Foundation (PILF) is “is a educational and legal foundation dedicated to protect the right to vote, preserve the Constitutional framework of American elections, and educate the public on the issue of election integrity.",the Public Interest Legal Foundation,the Public Interest Legal Foundation,PILF,American,0
" Dozens of migrants and refugees were wounded on Sunday when Macedonian police fired tear gas and rubber bullets at crowds on the Greek side of the border, aid workers said, an act Athens called ”dangerous and deplorable”. ",Macedonian police,Macedonian,Greek,Greek,0
"Breitbart News’ request for Capitol Hill press credentials was denied until “more answers” can be provided on whether top White House adviser Steve Bannon has severed ties with the conservative website, according to a report on Monday.",Breitbart News’,Capitol Hill,White House,White House,0
"Another LIRR passenger who was at Brooklyn’s Atlantic Terminal is suing the railroad and the MTA for $15 million, citing reports that the engineer who nodded off at the controls.",LIRR,LIRR,MTA,Brooklyn’s Atlantic Terminal,0
"Speaking in Washington during a news conference with Italian Prime Minister Paolo Gentiloni, U. S. President Donald Trump said the shooting in Paris “looks like another terrorist attack” and sent condolences to France.",Paolo Gentiloni,Paolo Gentiloni,Donald Trump,France,0
"Representative Mike Pompeo was once pointedly asked why his committee’s inquiry into the 2012 attacks on the American diplomatic compound in Benghazi, Libya, had dragged on longer than the Watergate investigation.",Representative Mike Pompeo,Benghazi,American,had,0
 One side effect of the agitation over an imminent Donald Trump nomination is the emergence of a litmus test for prominent Republicans.,Donald Trump,Donald Trump,Republicans,Republican,0
"Clinton, for instance, racked up the endorsements of Vermont’s other senator and its governor ",Clinton,Clinton,senator,Vermont,0
"Madasani’s father, Jaganmohan Reddy, told the Hindustan Times that in recent months, he had begun to ask his son to return home, fearing that he might not be safe in the country’s racially charged atmosphere, with ugly incidents and hate groups on the rise. ",Madasani,Madasani’,Jaganmohan Reddy,the Hindustan Time,0
Even some members of the Muslim community say he made a mistake in sometimes appearing on panels with relatively Islamist speakers during the 1990s and early 2000s.,Muslim,Muslim,he,Islamist,0
"After failing to get Les home address from mutual friends, Esteban focused her efforts on finding out where Le was practicing to be a nurse.",Les,Le,Esteban,Esteban,0
" Former Wells Fargo & Co ( ) general manager Claudia Ponce de Leon filed a whistleblower complaint in December 2011 with federal labor regulators, alleging she was fired for telling superiors about employees opening unauthorized accounts. ",Claudia Ponce de Leon,Wells Fargo & Co,she,Claudia Ponce de Leon,0
"President Tsai of Taiwan sharply criticized China’s leaders on Saturday, saying they had resorted to military and economic threats in order to intimidate the island.",President Tsai,criticized,they,Saturday,0
"Red Krayola, the Texas rock band (founded in 1966, thank you very much) is performing, and one gallery is actually devoted to a dead artist, Forrest Bess, who died in 1977.",you,Texa,Forrest Bess,Forrest Be,0
"Penn’s internal note was titled, ”Lack of American Roots,” and painted media reports about Obama’s time as a child in Hawaii and Indonesia as having exposed ”a very strong weakness for him his roots to basic American values and culture are at best limited.” ",Penn,Penn,Obama,Hawaii,0
"Ed Dahle, who retired some years ago after decades of teaching music at the Red Lake Falls High School, said he has taken to telling anyone who asks that he plans to build a wall around his house to keep Trump supporters out.",Ed Dahle,the Red Lake Falls High School,Trump,Trump,0
"Snowden, who has accepted temporary asylum in Russia, has said that he gave journalists all the documents he took with him when he left his job as an NSA contractor in Hawaii.",Snowden,NSA,he,Hawaii,0
"Not to be outdone, though, the presidential nominee of the Republican party is a boss who defends the massacre at Tiananmen Square, mocks handicapped reporters, and attacks the parents of fallen American soldiers.",the Republican party,Republican,American,American,0
"Mohammed, the architect of the terrorist attacks, was held in CIA ”black site” prisons outside the United States before he was transferred to detention facilities at Guantanamo Bay in Cuba.",Mohammed,Mohammed,he,the United State,0
"Some critics worried the abstinence programs would use aid to impose American values on Africans, says John Dietrich, a professor of political science at Bryant University.",American,African,Africans,Bryant University,0
"Minister Khan also said at a press conference on Saturday that police are closing in on one of the masterminds of the recent attacks, sacked army Maj.",Minister Khan,Khan,police,Maj,0
"But we know when we're not wanted, and as non-believers we're not wanted in the evangelical Christian worldview, except as enablers of Jesus' final coming.",Christian,Christian,Jesus,Jesu,0
"” Austin Evers, the group’s director, told NPR, ”We can get a straight, factual answer in the courts, by asking an unspinnable question:",Austin Evers,’,NPR,NPR,0
"However, as a result of our logo having appeared on the Gawker website, we received tweets that accused us of condoning bullying.""According to the statement, it seems that Adobe did not pull the logo in response to Biddle's tweets or in response to anything other than the fact that it was mistakenly there to begin with.",Gawker,Adobe,Adobe,Biddle,0
"the Syrian regimes critics fail to take into account violence by the rebels.Iran is against the killing of unarmed people and citizens by any side, Iranian Foreign Minister Ali Akbar Salehi said at the gathering.",Syrian,Syrian,Iranian,Ali Akbar Salehi,0
" The head of a congressional committee investigating contacts between Donald Trump’s campaign and Russia said on Monday the panel had not seen evidence of inappropriate communications, prompting the panel’s top Democrat to insist it was too early to make such a determination.",Donald Trump’s,Donald Trump’,Democrat,Democrat,0
" President Barack Obama’s income fell to just over $436, 000 in 2015, the lowest of his presidency, and he and first lady Michelle Obama paid nearly $81, 500 in taxes, according to tax returns the White House released on Friday.",Barack Obama,Michelle Obama,Michelle Obama,the White House,0
"That has not gone well in the past: In a previous debate where Bush badly wanted a breakout, he picked a fight over Rubio’s voting and attendance record in the Senate and provoked a damaging verbal takedown.",Bush,Bush,Rubio,Senate,0
"To take one example, the shooter in the recent Kansas attack apparently thought his two Indian American victims were Iranian.",Indian American,Kansa,Iranian,Iranian,0
 It took nearly 24 hours for his family to discover Hamidullah’s broken body on the bottom shelf of a morgue at Kabul’s Wazir Akhbar Khan hospital.,Hamidullah,Kabul,Kabul,Akhbar Khan,0
"One of their claims  which I personally find incredible, although others may not  was that, while sailing round Libya, they had had the sun on their righthand side.""This is precisely the detail that enables us to know that the Phoenicians were indeed telling the truth and had crossed the equator.",I,Libya,they,Phoenician,0
